"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1559.39/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xe10ec04dd264724b92d92aadcb3e5782af44534c2bfd4a50ac28fa7b2db025de","15101785","1657281669","2022-07-08 12:01:09","0xd75f918301631e4f0775db70cba98153e0d44b9c","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001327850691540318","2.07063708988106","1214.00","","","Whitelist Mint",""
"0x3ddae08a7743bd61a54dd8bfcff93d2e07ee34aed4d8dd6fbe3200d2db244056","15101785","1657281669","2022-07-08 12:01:09","0xdfff3e788bf2e8e487df1c5d1b1f5da464caac4f","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001327850691540318","2.07063708988106","1214.00","","","Whitelist Mint",""
"0x3d6c6fa334d8eb82a9a0c83b4315c6e63adc6b925d58ca37dc9752188bb410dd","15101785","1657281669","2022-07-08 12:01:09","0x0e441e387a818c53feb6e941b36c66b9812cb62c","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001327850691540318","2.07063708988106","1214.00","","","Whitelist Mint",""
"0xc7e98c302b868a7acf064e19fd9f0e9bdb8dbcb96a2d274a9c48e278946566e7","15101785","1657281669","2022-07-08 12:01:09","0x7eea428bdbde6d605f593a95141e52f171ed3e4e","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001327850691540318","2.07063708988106","1214.00","","","Whitelist Mint",""
"0x3471e32b38bd4e12bbc211adfca9664c92b8eb2a1e2d56479b2ab362a761c25d","15101786","1657281676","2022-07-08 12:01:16","0xee38e54de56a9d3878267fb26697adb990947330","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.0040099158","6.253022599362","1214.00","","","Whitelist Mint",""
"0x946d8a7a67dd61384a658489783b7c72435d38aa31c56216c60dcb6c52ee3daf","15101786","1657281676","2022-07-08 12:01:16","0x1e3da955d5810bed3a253f306cc995bb92968a45","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x1b520a02cf70e898fd5d3c3b9a6ee3af32190c5c849989acbc5a426783685f22","15101786","1657281676","2022-07-08 12:01:16","0x4cf2461558ef38b08cc608965d07e5f833283705","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x9199e0cc67734f153ec265a6934d022f03977d392cb683ee676fe518ecb70ebc","15101786","1657281676","2022-07-08 12:01:16","0x0bb62abf3e9ace55afce8b52b61545cd8b960c05","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x33e5bee2f821cb2aadc979483a0b182aab2565219f79946d51568f59521a72fc","15101786","1657281676","2022-07-08 12:01:16","0xc0fe70f3322a4db5e2eea3d41452900b8b09da83","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xaf37fcddc185e8a571e92daabbfe20f113831fa872b35f5c5e701350673fc93b","15101786","1657281676","2022-07-08 12:01:16","0xce58e9c28cc9716b090ff181bacde9761fe82254","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x90b294dec252115c0464e2542f407d3e902220b1c7880ac5eff234eb779a8dc8","15101786","1657281676","2022-07-08 12:01:16","0x284978427f4c9d72716539a6a2600a7a02b06095","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xa4ca8fb7b95c60a6e1e3b9314dbbb741eaea81f748da022040e24ff9267e0a08","15101786","1657281676","2022-07-08 12:01:16","0xbe66ddbb8eef8d791f4d13882ee7c5eb07a9c75d","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xda32f62a52a2a5a673955694cb736a0b1ffbaf6e4a9c08cabb6da2432520c74e","15101786","1657281676","2022-07-08 12:01:16","0x44b059ecae0ddd09b088c787645b6342590e0836","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x2fb975e3f6f9b00148ffedd5aedb928c91677802ae9945ef5c1941e3f2776ee5","15101786","1657281676","2022-07-08 12:01:16","0xb23eb4efb463bd20cbfe59a9e2a18d8fbead9c31","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xbed8c29ba22174b0c15f5f43bd93b0657def9782c2989a18edcd0781aa6e9401","15101786","1657281676","2022-07-08 12:01:16","0x4ea42f06802ede1849fee3d5e1c87a5bd1ab7597","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x32367086d70657be8fc625f285604a226ceae4ae652bc746dc7d87d3c028aa69","15101786","1657281676","2022-07-08 12:01:16","0x1a883c8af1e57cc9e5e75721df3e29e072de6596","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x31f2d0780a37d5e99da91cbcd45d8d4ee79d2f60e2442ea6919809eacefa1540","15101786","1657281676","2022-07-08 12:01:16","0x9f0b7f731897898709f3f935972d646c2d262cb6","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xd3c7d3f4196204290dd55ce10c6d10b2afdea56fd7b8bf8892f87c2522e4f669","15101786","1657281676","2022-07-08 12:01:16","0xce69e499be1e44b3c3f6eef4b46b436ec56db993","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x2a129a06aba52f923d586fa62ac09ccd87bf5fdaf34080a2b8cea18ce2e5f685","15101786","1657281676","2022-07-08 12:01:16","0x417487275239e0f6c5ac79f5d60135ecf118169b","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xa4b1985c14af06c27ecd1ec785a51110a4a1926e65a85ebf188f9fdb2af5ecb5","15101786","1657281676","2022-07-08 12:01:16","0x45915331b29b55e73fa48862d89e0dd9be320942","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0xd0fce9aeebfba1e60053204dd0bb5b78e442da51a0761e6cd0181de70270104b","15101786","1657281676","2022-07-08 12:01:16","0x4230475a25f18344ea07424b9645162b93844acd","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x9b93502ba84c7ada11e0d6ec16490fb3ba0a1a4b7e43671c13b16bfe72642a19","15101786","1657281676","2022-07-08 12:01:16","0x2fc83c415254500a9da9d58ff5cf80a86233c414","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
"0x3a2678a91aefc84b0915307609bf7484b6d9ca83ecad0abff003b4fead35bf72","15101786","1657281676","2022-07-08 12:01:16","0x24f173cbbddc0bd7b50bb3c8ce68b5e6bf36aa6e","0x8dff3ca05b40aca78db00f10ecd9eb486a13da2f","","0.02","0","31.1878","0.001459007304996582","2.27516140133862","1214.00","","","Whitelist Mint",""
